subject_id,0,trial_index,1,part,2,set_number,3,size,4,correct,5,rt,6,time_elapsed,7,letters_recalled,8,correct_letters,9
2,2,4,4,sentence-pre,sentence-pre,,,,,1,1,3531.329999998,3531.329999998,84840,84840,,,,
2,2,6,6,sentence-pre,sentence-pre,,,,,1,1,4600.3350000246,4600.3350000246,90770,90770,,,,
2,2,8,8,sentence-pre,sentence-pre,,,,,1,1,4390.4200000106,4390.4200000106,96501,96501,,,,
2,2,10,10,sentence-pre,sentence-pre,,,,,0,0,7235.4399999895,7235.4399999895,105070,105070,,,,
2,2,12,12,recall-pre,recall-pre,1,1,4,4,0,0,8021.2199999951,8021.2199999951,114429,114429,HKNL,HKNL,HKLN,HKLN
2,2,13,13,sentence-pre,sentence-pre,,,,,1,1,4063.914999977,4063.914999977,118507,118507,,,,
2,2,15,15,sentence-pre,sentence-pre,,,,,1,1,6015.7400000026,6015.7400000026,125847,125847,,,,
2,2,17,17,sentence-pre,sentence-pre,,,,,1,1,5969.8799999896,5969.8799999896,133141,133141,,,,
2,2,19,19,sentence-pre,sentence-pre,,,,,0,0,7137.6650000166,7137.6650000166,141595,141595,,,,
2,2,21,21,sentence-pre,sentence-pre,,,,,1,1,4722.929999989,4722.929999989,147647,147647,,,,
2,2,23,23,sentence-pre,sentence-pre,,,,,1,1,4337.2299999755,4337.2299999755,153318,153318,,,,
2,2,25,25,recall-pre,recall-pre,2,2,6,6,0,0,7489.8099999991,7489.8099999991,162130,162130,TNRQLS,TNRQLS,TNPQLS,TNPQLS
2,2,26,26,sentence-pre,sentence-pre,,,,,1,1,6651.6150000098,6651.6150000098,168790,168790,,,,
2,2,28,28,sentence-pre,sentence-pre,,,,,0,0,4415.6099999964,4415.6099999964,174528,174528,,,,
2,2,30,30,sentence-pre,sentence-pre,,,,,1,1,2714.7850000183,2714.7850000183,178565,178565,,,,
2,2,32,32,sentence-pre,sentence-pre,,,,,0,0,4331.4700000046,4331.4700000046,184220,184220,,,,
2,2,34,34,recall-pre,recall-pre,3,3,4,4,1,1,4320.4149999947,4320.4149999947,189873,189873,FRQL,FRQL,FRQL,FRQL
2,2,35,35,sentence-pre,sentence-pre,,,,,1,1,4353.6599999934,4353.6599999934,194236,194236,,,,
2,2,37,37,sentence-pre,sentence-pre,,,,,1,1,6488.2849999995,6488.2849999995,202064,202064,,,,
2,2,39,39,sentence-pre,sentence-pre,,,,,1,1,12269.86499998,12269.86499998,215680,215680,,,,
2,2,41,41,sentence-pre,sentence-pre,,,,,1,1,10257.975000015,10257.975000015,227269,227269,,,,
2,2,43,43,sentence-pre,sentence-pre,,,,,1,1,3246.4150000014,3246.4150000014,231840,231840,,,,
2,2,45,45,recall-pre,recall-pre,4,4,5,5,0,0,5688.4149999823,5688.4149999823,238847,238847,JPK,JPK,SYJPK,SYJPK
2,2,46,46,sentence-pre,sentence-pre,,,,,1,1,3840.7000000007,3840.7000000007,242696,242696,,,,
2,2,48,48,sentence-pre,sentence-pre,,,,,1,1,4684.5949999988,4684.5949999988,248704,248704,,,,
2,2,50,50,sentence-pre,sentence-pre,,,,,0,0,11266.21999999,11266.21999999,261290,261290,,,,
2,2,52,52,sentence-pre,sentence-pre,,,,,0,0,9648.7100000086,9648.7100000086,272260,272260,,,,
2,2,54,54,sentence-pre,sentence-pre,,,,,1,1,3444.2500000005,3444.2500000005,277067,277067,,,,
2,2,56,56,sentence-pre,sentence-pre,,,,,0,0,9117.0500000007,9117.0500000007,287508,287508,,,,
2,2,58,58,recall-pre,recall-pre,5,5,6,6,0,0,6060.5400000059,6060.5400000059,294888,294888,TKSL,TKSL,KLYSQH,KLYSQH
2,2,59,59,sentence-pre,sentence-pre,,,,,1,1,5759.9950000003,5759.9950000003,300654,300654,,,,
2,2,61,61,sentence-pre,sentence-pre,,,,,1,1,8375.8350000135,8375.8350000135,310356,310356,,,,
2,2,63,63,sentence-pre,sentence-pre,,,,,1,1,5563.0349999992,5563.0349999992,317241,317241,,,,
2,2,65,65,sentence-pre,sentence-pre,,,,,0,0,18335.41,18335.41,336897,336897,,,,
2,2,67,67,sentence-pre,sentence-pre,,,,,1,1,5648.1150000182,5648.1150000182,343884,343884,,,,
2,2,69,69,recall-pre,recall-pre,6,6,5,5,1,1,5690.7300000021,5690.7300000021,350913,350913,HJRKS,HJRKS,HJRKS,HJRKS
2,2,471,471,sentence-post,sentence-post,,,,,1,1,11159.09999999,11159.09999999,3002444,3002444,,,,
2,2,473,473,sentence-post,sentence-post,,,,,1,1,5661.9900000226,5661.9900000226,3009429,3009429,,,,
2,2,475,475,sentence-post,sentence-post,,,,,0,0,3236.6699999841,3236.6699999841,3014043,3014043,,,,
2,2,477,477,sentence-post,sentence-post,,,,,1,1,2856.4250000054,2856.4250000054,3018217,3018217,,,,
2,2,479,479,sentence-post,sentence-post,,,,,0,0,4114.1500000083,4114.1500000083,3023665,3023665,,,,
2,2,481,481,sentence-post,sentence-post,,,,,1,1,9724.4050000156,9724.4050000156,3034721,3034721,,,,
2,2,483,483,recall-post,recall-post,1,1,6,6,1,1,5112.0850000004,5112.0850000004,3041156,3041156,HPYQSR,HPYQSR,HPYQSR,HPYQSR
2,2,484,484,sentence-post,sentence-post,,,,,0,0,6011.4999999935,6011.4999999935,3047181,3047181,,,,
2,2,486,486,sentence-post,sentence-post,,,,,0,0,3082.5499999914,3082.5499999914,3051582,3051582,,,,
2,2,488,488,sentence-post,sentence-post,,,,,1,1,12586.869999999,12586.869999999,3065486,3065486,,,,
2,2,490,490,sentence-post,sentence-post,,,,,1,1,7039.7499999963,7039.7499999963,3073838,3073838,,,,
2,2,492,492,sentence-post,sentence-post,,,,,0,0,2965.4000000153,2965.4000000153,3078113,3078113,,,,
2,2,494,494,recall-post,recall-post,2,2,5,5,0,0,6257.4650000022,6257.4650000022,3085690,3085690,YSRP,YSRP,RJYSK,RJYSK
2,2,495,495,sentence-post,sentence-post,,,,,1,1,2983.7150000096,2983.7150000096,3088688,3088688,,,,
2,2,497,497,sentence-post,sentence-post,,,,,1,1,2567.5000000047,2567.5000000047,3092600,3092600,,,,
2,2,499,499,sentence-post,sentence-post,,,,,1,1,3793.2199999923,3793.2199999923,3097718,3097718,,,,
2,2,501,501,sentence-post,sentence-post,,,,,1,1,3800.45000001,3800.45000001,3102830,3102830,,,,
2,2,503,503,recall-post,recall-post,3,3,4,4,1,1,5451.0900000171,5451.0900000171,3109601,3109601,THJF,THJF,THJF,THJF
2,2,504,504,sentence-post,sentence-post,,,,,1,1,3379.3000000007,3379.3000000007,3112986,3112986,,,,
2,2,506,506,sentence-post,sentence-post,,,,,1,1,2962.760000024,2962.760000024,3117259,3117259,,,,
2,2,508,508,sentence-post,sentence-post,,,,,1,1,4364.9799999837,4364.9799999837,3122941,3122941,,,,
2,2,510,510,sentence-post,sentence-post,,,,,1,1,3308.1649999949,3308.1649999949,3127562,3127562,,,,
2,2,512,512,sentence-post,sentence-post,,,,,1,1,3774.62500002,3774.62500002,3132650,3132650,,,,
2,2,514,514,sentence-post,sentence-post,,,,,1,1,3894.6399999838,3894.6399999838,3137865,3137865,,,,
2,2,516,516,recall-post,recall-post,4,4,6,6,0,0,6016.0100000212,6016.0100000212,3145206,3145206,TQLTF,TQLTF,YSQFTL,YSQFTL
2,2,517,517,sentence-post,sentence-post,,,,,1,1,2841.5899999966,2841.5899999966,3148056,3148056,,,,
2,2,519,519,sentence-post,sentence-post,,,,,1,1,3044.8299999991,3044.8299999991,3152419,3152419,,,,
2,2,521,521,sentence-post,sentence-post,,,,,1,1,3186.9849999784,3186.9849999784,3156923,3156923,,,,
2,2,523,523,sentence-post,sentence-post,,,,,1,1,4366.3299999898,4366.3299999898,3162606,3162606,,,,
