subject_id,0,retransc,1,trial_index,2,rt,3
2,2,"What keeps us happy and healthy as we go through life","What keeps us happy and healthy as we go through life",75,75,12549.804999988,12549.804999988
2,2,"If you are going to invest now, in your future best self","If you are going to invest now, in your future best self",77,77,12499.634999986,12499.634999986
2,2,"Where will you put your time and energy?
","Where will you put your time and energy?
",79,79,7510.3799999924,7510.3799999924
2,2,"There was a recent survey of millenials, asking them
","There was a recent survey of millenials, asking them
",81,81,10009.030000016,10009.030000016
2,2,"What there life most important go","What there life most important go",83,83,10010.255000001,10010.255000001
2,2,"And 80 percent said, that a major goal for th","And 80 percent said, that a major goal for th",85,85,10001.770000003,10001.770000003
2,2,"Was to get rich


","Was to get rich


",87,87,5010.9299999895,5010.9299999895
2,2,"And the other fifty percent, of those same young adults
","And the other fifty percent, of those same young adults
",89,89,9997.7700000163,9997.7700000163
2,2,"Said that a major life goals, was to be famous","Said that a major life goals, was to be famous",91,91,14993.654999998,14993.654999998
2,2,"And we're constantly told to lean in to push harder","And we're constantly told to lean in to push harder",93,93,15004.915000027,15004.915000027
2,2,"And achieve more","And achieve more",95,95,4983.6349999823,4983.6349999823
2,2,"And those are the impression of things we need to go after","And those are the impression of things we need to go after",97,97,10006.824999989,10006.824999989
2,2,"in order to have a good life","in order to have a good life",99,99,4997.6550000138,4997.6550000138
2,2,"pictures of entire lives
","pictures of entire lives
",101,101,7495.0599999866,7495.0599999866
2,2,"of the choices that people make","of the choices that people make",103,103,7510.7699999935,7510.7699999935
2,2,"and how those choices work out for them","and how those choices work out for them",105,105,7489.2399999953,7489.2399999953
2,2,"those pictures are almost impossible to get","those pictures are almost impossible to get",107,107,7481.6200000059,7481.6200000059
2,2,"most of what we know about human life","most of what we know about human life",109,109,7502.0149999764,7502.0149999764
2,2,"we know from asking people about their past","we know from asking people about their past",111,111,9995.7100000174,9995.7100000174
2,2,"and as we know are insight 2020","and as we know are insight 2020",113,113,12495.82500002,12495.82500002
2,2,"we forget of what happen in life","we forget of what happen in life",115,115,9992.5800000201,9992.5800000201
2,2,"and sometimes memory is write down creat","and sometimes memory is write down creat",117,117,7500.469999999,7500.469999999
2,2,"but what if we could watch entire lives","but what if we could watch entire lives",119,119,12501.149999996,12501.149999996
2,2,"as they unfold through times","as they unfold through times",121,121,7491.5350000083,7491.5350000083
2,2,"what if we could study people","what if we could study people",123,123,5000.8349999844,5000.8349999844
2,2,"from the time they were teenager to when they're","from the time they were teenager to when they're",125,125,12475.810000004,12475.810000004
2,2,"to see what keeps people happy and healthy","to see what keeps people happy and healthy",127,127,10000.624999986,10000.624999986
2,2,"we did that. The Harvard study of hard development","we did that. The Harvard study of hard development",129,129,12521.819999994,12521.819999994
2,2,"may be the longest study of adult life that's ever been done","may be the longest study of adult life that's ever been done",131,131,12501.340000017,12501.340000017
2,2,"for 65 years","for 65 years",133,133,7511.3200000196,7511.3200000196
2,2,"We've tracked the lives of 724 men","We've tracked the lives of 724 men",135,135,12507.604999992,12507.604999992
2,2,"years after years, asking about they home life, their work, their heal","years after years, asking about they home life, their work, their heal",137,137,12487.62,12487.62
