subject_id,0,part,1,correct,2,timeout_var,3,rt,4,time_elapsed,5
1,1,instruction,instruction,,,,,507.45000000097207,507.45000000097207,509,509
1,1,instruction,instruction,,,,,1452.7049999996962,1452.7049999996962,1962,1962
1,1,training-letters,training-letters,,,,,,,2964,2964
1,1,training-letters,training-letters,,,,,,,3975,3975
1,1,training-letters,training-letters,,,,,,,5288,5288
1,1,training-letters,training-letters,,,,,,,6619,6619
1,1,training-recall,training-recall,1,1,,,2800.9600000004866,2800.9600000004866,9735,9735
1,1,feedback,feedback,,,,,,,11244,11244
1,1,training-letters,training-letters,,,,,,,12260,12260
1,1,training-letters,training-letters,,,,,,,13271,13271
1,1,training-letters,training-letters,,,,,,,14587,14587
1,1,training-letters,training-letters,,,,,,,15900,15900
1,1,training-letters,training-letters,,,,,,,17220,17220
1,1,training-recall,training-recall,1,1,,,3632.4600000007194,3632.4600000007194,21156,21156
1,1,feedback,feedback,,,,,,,22658,22658
1,1,training-letters,training-letters,,,,,,,23663,23663
1,1,training-letters,training-letters,,,,,,,24679,24679
1,1,training-letters,training-letters,,,,,,,25991,25991
1,1,training-letters,training-letters,,,,,,,27315,27315
1,1,training-letters,training-letters,,,,,,,28635,28635
1,1,training-letters,training-letters,,,,,,,29956,29956
1,1,training-recall,training-recall,1,1,,,4363.090000002558,4363.090000002558,34633,34633
1,1,feedback,feedback,,,,,,,36149,36149
1,1,instruction,instruction,,,,,3026.3300000005984,3026.3300000005984,39175,39175
1,1,training-sentence,training-sentence,0,0,,,2163.2950000021083,2163.2950000021083,41341,41341
1,1,training-sentence,training-sentence,0,0,,,531.8150000020978,531.8150000020978,41874,41874
1,1,training-sentence,training-sentence,0,0,,,214.28499999819905,214.28499999819905,42090,42090
1,1,training-sentence,training-sentence,1,1,,,174.74500000025728,174.74500000025728,42266,42266
1,1,training-sentence,training-sentence,1,1,,,528.1050000012328,528.1050000012328,42796,42796
1,1,training-sentence,training-sentence,1,1,,,175.3850000022794,175.3850000022794,42973,42973
1,1,training-sentence,training-sentence,1,1,,,154.41500000088126,154.41500000088126,43129,43129
1,1,training-sentence,training-sentence,0,0,,,173.0299999981071,173.0299999981071,43304,43304
1,1,training-sentence,training-sentence,1,1,,,381.4149999998335,381.4149999998335,43687,43687
1,1,training-sentence,training-sentence,1,1,,,352.5899999985995,352.5899999985995,44041,44041
1,1,training-sentence,training-sentence,0,0,,,178.20999999821652,178.20999999821652,44221,44221
1,1,training-sentence,training-sentence,1,1,,,195.41000000026543,195.41000000026543,44418,44418
1,1,training-sentence,training-sentence,1,1,,,418.3499999999185,418.3499999999185,44838,44838
1,1,training-sentence,training-sentence,1,1,,,194.48499999998603,194.48499999998603,45034,45034
1,1,training-sentence,training-sentence,1,1,,,169.34500000206754,169.34500000206754,45205,45205
1,1,feedback,feedback,,,1664.515989080016,1664.515989080016,,,48225,48225
1,1,instruction,instruction,,,,,10014.235000002373,10014.235000002373,58270,58270
1,1,training-both-sentence,training-both-sentence,0,0,,,,,59946,59946
1,1,training-both-letter,training-both-letter,,,,,,,60948,60948
1,1,training-both-sentence,training-both-sentence,0,0,,,619.0150000002177,619.0150000002177,61868,61868
1,1,training-both-letter,training-both-letter,,,,,,,62882,62882
1,1,training-both-recall,training-both-recall,1,1,,,3208.085000002029,3208.085000002029,66395,66395
1,1,training-both-sentence,training-both-sentence,0,0,,,1228.1399999992573,1228.1399999992573,67625,67625
1,1,training-both-letter,training-both-letter,,,,,,,68639,68639
1,1,training-both-sentence,training-both-sentence,0,0,,,639.259999999922,639.259999999922,69580,69580
1,1,training-both-letter,training-both-letter,,,,,,,70586,70586
1,1,training-both-recall,training-both-recall,0,0,,,2267.6599999977043,2267.6599999977043,73169,73169
1,1,training-both-sentence,training-both-sentence,1,1,,,963.9349999997648,963.9349999997648,74135,74135
1,1,training-both-letter,training-both-letter,,,,,,,75144,75144
1,1,training-both-sentence,training-both-sentence,0,0,,,1530.8599999989383,1530.8599999989383,76976,76976
1,1,training-both-letter,training-both-letter,,,,,,,77992,77992
1,1,training-both-recall,training-both-recall,0,0,,,2425.9100000017497,2425.9100000017497,80723,80723
1,1,fin,fin,,,,,1810.0000000013097,1810.0000000013097,82534,82534
1,1,,,,,,,,,2113,2113
