subject_id,0,retransc,1,trial_index,2,rt,3
1,1,"what keeps us healhty and wellthy as xw","what keeps us healhty and wellthy as xw",97,97,12503.490000032,12503.490000032
1,1,"in your future best sa","in your future best sa",99,99,12507.750000106,12507.750000106
1,1,"where would you put your t","where would you put your t",101,101,7501.1400000658,7501.1400000658
1,1,"it was a recent srvye about millenians","it was a recent srvye about millenians",103,103,10011.604999891,10011.604999891
1,1,"what was thei most important go","what was thei most important go",105,105,10008.954999968,10008.954999968
1,1,"an over 80% said that their go","an over 80% said that their go",107,107,10004.70499997,10004.70499997
1,1,"was to get rich","was to get rich",109,109,5000.5349998828,5000.5349998828
1,1,"another 50% of the same young adults","another 50% of the same young adults",111,111,10000.164999859,10000.164999859
1,1,"said another major life goal was to become famous","said another major life goal was to become famous",113,113,14997.475000098,14997.475000098
1,1,"and constantly to keep on work and push ha","and constantly to keep on work and push ha",115,115,14992.88499984,14992.88499984
1,1,"and achieve more","and achieve more",117,117,5018.0349999573,5018.0349999573
1,1,"give the impression that we need to go after","give the impression that we need to go after",119,119,10000.424999977,10000.424999977
1,1,"in order to have a good lig","in order to have a good lig",121,121,5004.7750000376,5004.7750000376
1,1,"picture of the entire life","picture of the entire life",123,123,7508.2650000695,7508.2650000695
1,1,"of the choices that m=people make","of the choices that m=people make",125,125,7490.7899999525,7490.7899999525
1,1,"and how those traces work for them","and how those traces work for them",127,127,7511.9649998378,7511.9649998378
1,1,"those picture are almost imssi","those picture are almost imssi",129,129,7509.0700001456,7509.0700001456
1,1,"most about we know about human li","most about we know about human li",131,131,7509.2050000094,7509.2050000094
1,1,"we know from asking people about the past","we know from asking people about the past",133,133,10000.155000016,10000.155000016
1,1,"and yhence they said that 20 2","and yhence they said that 20 2",135,135,12510.364999995,12510.364999995
1,1,"we forget vast amount about what we inve","we forget vast amount about what we inve",137,137,10009.79000004,10009.79000004
1,1,"and sometimes memoi","and sometimes memoi",139,139,7504.6550000552,7504.6550000552
1,1,"wut what if we could watch about the entire life","wut what if we could watch about the entire life",141,141,12499.725000001,12499.725000001
1,1,"as they unfold two times","as they unfold two times",143,143,7499.7650000732,7499.7650000732
1,1,"what if we could study peop","what if we could study peop",145,145,5003.9150000084,5003.9150000084
1,1,"from the time they were teenagers and to older age","from the time they were teenagers and to older age",147,147,12501.360000111,12501.360000111
1,1,"what keeps people ","what keeps people ",149,149,10001.739999978,10001.739999978
1,1,"we did that. the study of the entire developement ","we did that. the study of the entire developement ",151,151,12500.705000013,12500.705000013
1,1,"maybe the longest study that has ever been done","maybe the longest study that has ever been done",153,153,12500.680000056,12500.680000056
1,1,"for 75 years","for 75 years",155,155,7499.8900000937,7499.8900000937
1,1,"we've tracked the lines of 24 men","we've tracked the lines of 24 men",157,157,12501.244999934,12501.244999934
1,1,"year after year asking them about their work their hom","year after year asking them about their work their hom",159,159,12503.239999991,12503.239999991
1,1,"and asking all along the way","and asking all along the way",161,161,7512.9750000779,7512.9750000779
1,1,"without knowing their ","without knowing their ",163,163,10009.384999983,10009.384999983
1,1,"study like this are extremely ra","study like this are extremely ra",165,165,7508.290000027,7508.290000027
1,1,"almost all prokjects like these fall apart from a","almost all prokjects like these fall apart from a",167,167,10002.189999912,10002.189999912
1,1,"because people drop out the study","because people drop out the study",169,169,7502.5699997786,7502.5699997786
1,1,"or funding from the research dri","or funding from the research dri",171,171,7500.6650001742,7500.6650001742
1,1,"or the research has been destrcuted or th","or the research has been destrcuted or th",173,173,10005.614999915,10005.614999915
1,1,"and nobody move the boof ","and nobody move the boof ",175,175,7499.3249999825,7499.3249999825
1,1,"a true combination of luck","a true combination of luck",177,177,5012.2450001072,5012.2450001072
1,1,"and the persistence of seven decades of researc","and the persistence of seven decades of researc",179,179,10000.084999949,10000.084999949
1,1,"this study has survived","this study has survived",181,181,5012.9849999212,5012.9849999212
1,1,"about 60 out of our 700 men ","about 60 out of our 700 men ",183,183,12500.869999873,12500.869999873
1,1,"are still alive, still participating in the study","are still alive, still participating in the study",185,185,10019.185000099,10019.185000099
1,1,"most of them in their 90","most of them in their 90",187,187,5000.8499999531,5000.8499999531
1,1,"we are now boutastudying more than 2000 children","we are now boutastudying more than 2000 children",189,189,12514.83,12514.83
1,1,"of these men","of these men",191,191,2508.7200000416,2508.7200000416
1,1,"and i m the fourth di","and i m the fourth di",193,193,5000.8149999194,5000.8149999194
1,1,"since 1938 we have studied two groups of men","since 1938 we have studied two groups of men",195,195,12500.454999972,12500.454999972
1,1,"the first group started the study in the college","the first group started the study in the college",197,197,12500.405000057,12500.405000057
1,1,"they all finished college during wo","they all finished college during wo",199,199,7500.4050000571,7500.4050000571
1,1,"and they all served in the war","and they all served in the war",201,201,7516.2150000688,7516.2150000688
1,1,"and the second group that we fo","and the second group that we fo",203,203,5004.6250000596,5004.6250000596
1,1,"was a group of boys of boston poorest neighbor","was a group of boys of boston poorest neighbor",205,205,10002.270000055,10002.270000055
1,1,"boys who were chosen for the study","boys who were chosen for the study",207,207,7509.990000166,7509.990000166
1,1,"specifically because they were most in trouble","specifically because they were most in trouble",209,209,10008.99500004,10008.99500004
1,1,"and disadavantage families in the 1930's ","and disadavantage families in the 1930's ",211,211,12501.214999938,12501.214999938
1,1,"most of them lived in basd confition without runnning water","most of them lived in basd confition without runnning water",213,213,12504.985000007,12504.985000007
1,1,"when they entered the study","when they entered the study",215,215,5001.2699998915,5001.2699998915
1,1,"all of these teenagers","all of these teenagers",217,217,5008.7250000797,5008.7250000797
1,1,"were having medical exams","were having medical exams",219,219,7500.7450000849,7500.7450000849
1,1,"we went to their homes and interviewe","we went to their homes and interviewe",221,221,7501.244999934,7501.244999934
1,1,"and this group of boys grew up and ","and this group of boys grew up and ",223,223,12505.505000008,12505.505000008
1,1,"became factory owrkers, lawyers, clerc","became factory owrkers, lawyers, clerc",225,225,12499.910000013,12499.910000013
