subject_id,trial_index,part,set_number,size,correct,rt,time_elapsed,letters_recalled,correct_letters
2,4,sentence-pre,,,1,3531.329999998,84840,,
2,6,sentence-pre,,,1,4600.3350000246,90770,,
2,8,sentence-pre,,,1,4390.4200000106,96501,,
2,10,sentence-pre,,,0,7235.4399999895,105070,,
2,12,recall-pre,1,4,0,8021.2199999951,114429,HKNL,HKLN
2,13,sentence-pre,,,1,4063.914999977,118507,,
2,15,sentence-pre,,,1,6015.7400000026,125847,,
2,17,sentence-pre,,,1,5969.8799999896,133141,,
2,19,sentence-pre,,,0,7137.6650000166,141595,,
2,21,sentence-pre,,,1,4722.929999989,147647,,
2,23,sentence-pre,,,1,4337.2299999755,153318,,
2,25,recall-pre,2,6,0,7489.8099999991,162130,TNRQLS,TNPQLS
2,26,sentence-pre,,,1,6651.6150000098,168790,,
2,28,sentence-pre,,,0,4415.6099999964,174528,,
2,30,sentence-pre,,,1,2714.7850000183,178565,,
2,32,sentence-pre,,,0,4331.4700000046,184220,,
2,34,recall-pre,3,4,1,4320.4149999947,189873,FRQL,FRQL
2,35,sentence-pre,,,1,4353.6599999934,194236,,
2,37,sentence-pre,,,1,6488.2849999995,202064,,
2,39,sentence-pre,,,1,12269.86499998,215680,,
2,41,sentence-pre,,,1,10257.975000015,227269,,
2,43,sentence-pre,,,1,3246.4150000014,231840,,
2,45,recall-pre,4,5,0,5688.4149999823,238847,JPK,SYJPK
2,46,sentence-pre,,,1,3840.7000000007,242696,,
2,48,sentence-pre,,,1,4684.5949999988,248704,,
2,50,sentence-pre,,,0,11266.21999999,261290,,
2,52,sentence-pre,,,0,9648.7100000086,272260,,
2,54,sentence-pre,,,1,3444.2500000005,277067,,
2,56,sentence-pre,,,0,9117.0500000007,287508,,
2,58,recall-pre,5,6,0,6060.5400000059,294888,TKSL,KLYSQH
2,59,sentence-pre,,,1,5759.9950000003,300654,,
2,61,sentence-pre,,,1,8375.8350000135,310356,,
2,63,sentence-pre,,,1,5563.0349999992,317241,,
2,65,sentence-pre,,,0,18335.41,336897,,
2,67,sentence-pre,,,1,5648.1150000182,343884,,
2,69,recall-pre,6,5,1,5690.7300000021,350913,HJRKS,HJRKS
2,471,sentence-post,,,1,11159.09999999,3002444,,
2,473,sentence-post,,,1,5661.9900000226,3009429,,
2,475,sentence-post,,,0,3236.6699999841,3014043,,
2,477,sentence-post,,,1,2856.4250000054,3018217,,
2,479,sentence-post,,,0,4114.1500000083,3023665,,
2,481,sentence-post,,,1,9724.4050000156,3034721,,
2,483,recall-post,1,6,1,5112.0850000004,3041156,HPYQSR,HPYQSR
2,484,sentence-post,,,0,6011.4999999935,3047181,,
2,486,sentence-post,,,0,3082.5499999914,3051582,,
2,488,sentence-post,,,1,12586.869999999,3065486,,
2,490,sentence-post,,,1,7039.7499999963,3073838,,
2,492,sentence-post,,,0,2965.4000000153,3078113,,
2,494,recall-post,2,5,0,6257.4650000022,3085690,YSRP,RJYSK
2,495,sentence-post,,,1,2983.7150000096,3088688,,
2,497,sentence-post,,,1,2567.5000000047,3092600,,
2,499,sentence-post,,,1,3793.2199999923,3097718,,
2,501,sentence-post,,,1,3800.45000001,3102830,,
2,503,recall-post,3,4,1,5451.0900000171,3109601,THJF,THJF
2,504,sentence-post,,,1,3379.3000000007,3112986,,
2,506,sentence-post,,,1,2962.760000024,3117259,,
2,508,sentence-post,,,1,4364.9799999837,3122941,,
2,510,sentence-post,,,1,3308.1649999949,3127562,,
2,512,sentence-post,,,1,3774.62500002,3132650,,
2,514,sentence-post,,,1,3894.6399999838,3137865,,
2,516,recall-post,4,6,0,6016.0100000212,3145206,TQLTF,YSQFTL
2,517,sentence-post,,,1,2841.5899999966,3148056,,
2,519,sentence-post,,,1,3044.8299999991,3152419,,
2,521,sentence-post,,,1,3186.9849999784,3156923,,
2,523,sentence-post,,,1,4366.3299999898,3162606,,
2,525,recall-post,5,4,0,4081.3750000088,3168001,TNFL,TNFR
2,526,sentence-post,,,1,3552.8549999874,3171569,,
2,528,sentence-post,,,1,2545.9949999927,3175450,,
2,530,sentence-post,,,1,6670.5000000075,3183431,,
2,532,sentence-post,,,1,2885.4349999749,3187639,,
2,534,sentence-post,,,1,2972.6749999975,3191935,,
2,536,recall-post,6,5,0,5326.7349999808,3198579,TPFL,LPRFH
