"view_history","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","key_press","letter","trial_id","correct","is_target"
"[{""page_index"":0,""viewing_time"":3749.1850000806153},{""page_index"":1,""viewing_time"":797.3100002855062}]","4547.350000124425","instruction","instructions","0","4549","0.0-0.0","1","","","","","",""
"[{""page_index"":0,""viewing_time"":646.0400000214577}]","646.6850000433624","instruction","instructions","1","5197","0.0-1.0","1","","","","","",""
"","null","","html-keyboard-response","2","7199","0.0-2.0","1","<h1>T</h1>","null","T","0","1","0"
"","null","","html-keyboard-response","3","9202","0.0-3.0","1","<h1>H</h1>","null","H","1","1","0"
"","1020.665000192821","","html-keyboard-response","4","11209","0.0-4.0","1","<h1>M</h1>","32","M","2","1","1"
"","null","","html-keyboard-response","5","13223","0.0-5.0","1","<h1>C</h1>","null","C","3","1","0"
"","null","","html-keyboard-response","6","15234","0.0-6.0","1","<h1>G</h1>","null","G","4","1","0"
"","663.8099998235703","","html-keyboard-response","7","17240","0.0-7.0","1","<h1>M</h1>","32","M","5","1","1"
"","null","","html-keyboard-response","8","19242","0.0-8.0","1","<h1>D</h1>","null","D","6","1","0"
"","2239.579999819398","feedback","html-keyboard-response","9","21485","0.0-9.0","1","<h1>Fin</h1><h2>Score : 100%</h2><p>Appuyez sur la touche espace pour envoyer vos résultats.</p>","32","","","",""
