"success","trial_type","trial_index","time_elapsed","internal_node_id","id_subject","view_history","rt","part","stimulus","key_press","letter","trial_id","id_2_back","prev_letter","is_target","correct","response_type"
"true","fullscreen","0","2083","0.0-0.0","5","","","","","","","","","","","",""
"","instructions","1","3983","0.0-1.0","5","[{""page_index"":0,""viewing_time"":1006.6750000114553},{""page_index"":1,""viewing_time"":262.589999998454},{""page_index"":2,""viewing_time"":252.30500000179745},{""page_index"":3,""viewing_time"":373.77999999444}]","1897.5800000043819","instruction","","","","","","","","",""
"","html-keyboard-response","2","4993","0.0-2.0","5","","null","Pause","","null","","","","","","",""
"","html-keyboard-response","3","6998","0.0-3.0","5","","1909.379999997327","2-back","<h1 class='mono'>C</h1>","70","C","0","6","","0","1","Non-target"
"","html-keyboard-response","4","9005","0.0-4.0","5","","728.7150000047404","2-back","<h1 class='mono'>Q</h1>","70","Q","1","6","","0","1","Non-target"
"","html-keyboard-response","5","11024","0.0-5.0","5","","555.4350000020349","2-back","<h1 class='mono'>H</h1>","70","H","2","6","C","0","1","Non-target"
"","html-keyboard-response","6","13044","0.0-6.0","5","","528.519999992568","2-back","<h1 class='mono'>Q</h1>","70","Q","3","6","Q","1","0","Mismatch"
"","html-keyboard-response","7","15060","0.0-7.0","5","","1773.3300000109011","2-back","<h1 class='mono'>H</h1>","70","H","4","6","H","1","0","Mismatch"
"","html-keyboard-response","8","17079","0.0-8.0","5","","null","2-back","<h1 class='mono'>B</h1>","null","B","5","6","Q","0","0","No-input"
"","html-keyboard-response","9","19090","0.0-9.0","5","","397.7100000047358","2-back","<h1 class='mono'>P</h1>","70","P","6","6","H","0","1","Non-target"
"","html-keyboard-response","10","21110","0.0-10.0","5","","715.7399999996414","2-back","<h1 class='mono'>H</h1>","74","H","7","6","B","0","0","False-alarm"
"","html-keyboard-response","11","23118","0.0-11.0","5","","556.6499999986263","2-back","<h1 class='mono'>G</h1>","70","G","8","6","P","0","1","Non-target"
"","html-keyboard-response","12","25127","0.0-12.0","5","","933.3950000000186","2-back","<h1 class='mono'>T</h1>","70","T","9","6","H","0","1","Non-target"
"","html-keyboard-response","13","27139","0.0-13.0","5","","null","2-back","<h1 class='mono'>G</h1>","null","G","10","6","G","1","0","No-input"
"","html-keyboard-response","14","29147","0.0-14.0","5","","164.68500001064967","2-back","<h1 class='mono'>T</h1>","70","T","11","6","T","1","0","Mismatch"
"","html-keyboard-response","15","31155","0.0-15.0","5","","808.5750000027474","2-back","<h1 class='mono'>M</h1>","70","M","12","6","G","0","1","Non-target"
"","html-keyboard-response","16","33174","0.0-16.0","5","","1030.3149999963352","2-back","<h1 class='mono'>M</h1>","70","M","13","6","T","0","1","Non-target"
"","html-keyboard-response","17","35181","0.0-17.0","5","","804.4999999983702","2-back","<h1 class='mono'>J</h1>","70","J","14","6","M","0","1","Non-target"
