"view_history","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","stimulus","key_press","button_pressed","make_sense","correct","responses","correct_letters","set_number","size","letters_recalled","audio_id","audio_file","retransc"
"[{""page_index"":0,""viewing_time"":515.4949999996461},{""page_index"":1,""viewing_time"":551.6849999985425},{""page_index"":2,""viewing_time"":2059.305000002496}]","3127.21999999485","instruction","instructions","0","3129","0.0-0.0","1","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1243.9700000031735}]","1244.3550000025425","instruction","instructions","1","4374","0.0-1.0","1","","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","2","5382","0.0-2.0","1","","null","","","","","","","","","","",""
"","1041.3599999956205","sentence-pre","html-button-response","3","6425","0.0-3.0","1","<p style='font-size: 1.3em'>When I get up in the morning, the first thing I do is feed my dog.</p>","","0","1","0","","","","","","","",""
"","null","letter-pre","html-keyboard-response","4","7439","0.0-4.0","1","<p class='mono' style='font-size: 2.5em' >T</p>","null","","","","","","","","","","",""
"","null","sentence-pre","html-button-response","5","9753","0.0-5.0","1","<p style='font-size: 1.3em'>After yelling at the game, I knew I would have a tall voice.</p>","","null","0","0","","","","","","","",""
"","null","letter-pre","html-keyboard-response","6","10762","0.0-6.0","1","<p class='mono' style='font-size: 2.5em' >H</p>","null","","","","","","","","","","",""
"","2638.630000001285","recall-pre","survey-html-form","7","13706","0.0-7.0","1","","","","","0","{""response"":""__""}","TH","1","2","__","","",""
"","1064.2949999964912","sentence-pre","html-button-response","8","14772","0.0-8.0","1","<p style='font-size: 1.3em'>Mary was asked to stop at the new mall to pick up several items.</p>","","0","1","0","","","","","","","",""
"","null","letter-pre","html-keyboard-response","9","15774","0.0-9.0","1","<p class='mono' style='font-size: 2.5em' >R</p>","null","","","","","","","","","","",""
"","357.11499999888474","sentence-pre","html-button-response","10","16440","0.0-10.0","1","<p style='font-size: 1.3em'>When it is cold, my mother always makes me wear a cap on my head.</p>","","1","1","1","","","","","","","",""
"","null","letter-pre","html-keyboard-response","11","17451","0.0-11.0","1","<p class='mono' style='font-size: 2.5em' >N</p>","null","","","","","","","","","","",""
"","1712.5100000048405","recall-pre","survey-html-form","12","19477","0.0-12.0","1","","","","","1","{""response"":""RN""}","RN","2","2","RN","","",""
"[{""page_index"":0,""viewing_time"":2242.164999996021},{""page_index"":1,""viewing_time"":1059.0500000034808},{""page_index"":2,""viewing_time"":892.7849999963655},{""page_index"":3,""viewing_time"":461.11000000382774}]","4655.579999998736","instruction","instructions","13","24133","0.0-13.0","1","","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","14","25150","0.0-14.0","1","","null","","","","","","","","","","",""
"","null","Beep Beep Beep","audio-keyboard-response","15","28161","0.0-15.0","1","../assets/beep_beep_beep.mp3","null","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","16","29166","0.0-16.0","1","","null","","","","","","","","","","",""
"","null","Audio","audio-keyboard-response","17","34233","0.0-17.0","1","audio/mp3/conf-001.mp3","null","","","","","","","","","1","conf-001.mp3",""
"","1119.3899999998393","Retranscription","survey-html-form","18","35355","0.0-18.0","1","","","","","","{""rep"":""""}","","","","","","",""
"","null","Audio","audio-keyboard-response","19","40513","0.0-19.0","1","audio/mp3/conf-002.mp3","null","","","","","","","","","2","conf-002.mp3",""
"","12502.344999993511","Retranscription","survey-html-form","20","53018","0.0-20.0","1","","","","","","{""rep"":""if you have to invest njow in your futur best self""}","","","","","","","if you have to invest njow in your futur best self"
"","null","Audio","audio-keyboard-response","21","56861","0.0-21.0","1","audio/mp3/conf-003.mp3","null","","","","","","","","","3","conf-003.mp3",""
"","7509.115000000747","Retranscription","survey-html-form","22","64373","0.0-22.0","1","","","","","","{""rep"":""where will you put your time and your ener""}","","","","","","","where will you put your time and your ener"
"","null","sentence-post","html-button-response","23","66378","0.0-23.0","1","<p style='font-size: 1.3em'>Wendy went to check her mail but all she received were cats.</p>","","null","0","0","","","","","","","",""
"","null","letter-post","html-keyboard-response","24","67388","0.0-24.0","1","<p class='mono' style='font-size: 2.5em' >L</p>","null","","","","","","","","","","",""
"","1834.3299999978626","sentence-post","html-button-response","25","69536","0.0-25.0","1","<p style='font-size: 1.3em'>Realizing that she was late, Julia rushed to pick up her child from speaker.</p>","","0","0","1","","","","","","","",""
"","null","letter-post","html-keyboard-response","26","70546","0.0-26.0","1","<p class='mono' style='font-size: 2.5em' >H</p>","null","","","","","","","","","","",""
"","1738.4749999982887","recall-post","survey-html-form","27","72601","0.0-27.0","1","","","","","0","{""response"":""__""}","LH","1","2","__","","",""
"","null","sentence-post","html-button-response","28","74612","0.0-28.0","1","<p style='font-size: 1.3em'>Paul likes to cry long distances in the park near his house.</p>","","null","0","0","","","","","","","",""
"","null","letter-post","html-keyboard-response","29","75621","0.0-29.0","1","<p class='mono' style='font-size: 2.5em' >J</p>","null","","","","","","","","","","",""
"","1690.9900000027847","sentence-post","html-button-response","30","77629","0.0-30.0","1","<p style='font-size: 1.3em'>The sick boy had to stay home from school because he had a phone.</p>","","1","0","0","","","","","","","",""
"","null","letter-post","html-keyboard-response","31","78633","0.0-31.0","1","<p class='mono' style='font-size: 2.5em' >K</p>","null","","","","","","","","","","",""
"","6377.404999999271","recall-post","survey-html-form","32","85315","0.0-32.0","1","","","","","0","{""response"":""JN""}","JK","2","2","JN","","",""
