"view_history","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","stimulus","key_press","letter","trial_id","id_2_back","block_part","prev_letter","is_target","correct","response_type","audio_id","audio_file","responses","retransc"
"[{""page_index"":0,""viewing_time"":709.2449999981909},{""page_index"":1,""viewing_time"":594.9849999997241},{""page_index"":2,""viewing_time"":901.9250000019383}]","2206.640000000334","instruction","instructions","0","2209","0.0-0.0","1","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":585.4350000008708},{""page_index"":1,""viewing_time"":654.8499999989872}]","1240.6349999982922","instruction","instructions","1","3450","0.0-1.0","1","","","","","","","","","","","","","",""
"","1090.4850000006263","Preparation","html-keyboard-response","2","4543","0.0-2.0","1","<h1>Positionnement de la main droite</h1><p>Placez l'index de votre <strong>main droite</strong> sur la touche '<strong>J</strong>'</p><p>Vous devrez garder votre doigt en position durant toute la session.</p><p>Lorsque vous êtes prêt appuyez sur la touche '<strong>J</strong>' pour continuer.</p>","74","","","","","","","","","","","",""
"","358.6800000011863","Preparation","html-keyboard-response","3","5411","0.0-3.0","1","<h1>Positionnement de la main gauche</h1><p>Placez l'index de votre <strong>main gauche</strong> sur la touche '<strong>F</strong>'</p><p>Vous devrez garder votre doigt en position durant toute la session.</p><p>Lorsque vous êtes prêt appuyez sur la touche '<strong>F</strong>' pour commencer la tâche.</p>","70","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","4","6425","0.0-4.0","1","","null","","","","","","","","","","","",""
"","1094.6599999988393","2-back-pre","html-keyboard-response","5","8437","0.0-5.0","1","<h1 class='mono'>1</h1>","70","1","0","1","1","","0","1","Non-target","","","",""
"","230.60500000065076","2-back-pre","html-keyboard-response","6","10448","0.0-6.0","1","<h1 class='mono'>F</h1>","70","F","1","1","1","","0","1","Non-target","","","",""
"","199.79500000044936","2-back-pre","html-keyboard-response","7","12457","0.0-7.0","1","<h1 class='mono'>T</h1>","70","T","2","1","1","1","0","1","Non-target","","","",""
"","239.93500000142376","2-back-pre","html-keyboard-response","8","14461","0.0-8.0","1","<h1 class='mono'>F</h1>","74","F","3","1","1","F","1","1","Target","","","",""
"","230.39000000062515","2-back-pre","html-keyboard-response","9","16472","0.0-9.0","1","<h1 class='mono'>S</h1>","70","S","4","1","1","T","0","1","Non-target","","","",""
"","257.3149999989255","2-back-pre","html-keyboard-response","10","18482","0.0-10.0","1","<h1 class='mono'>R</h1>","70","R","5","1","1","F","0","1","Non-target","","","",""
"","210.3499999975611","2-back-pre","html-keyboard-response","11","20492","0.0-11.0","1","<h1 class='mono'>S</h1>","70","S","6","1","1","S","1","0","Mismatch","","","",""
"","226.65500000221073","2-back-pre","html-keyboard-response","12","22499","0.0-12.0","1","<h1 class='mono'>F</h1>","70","F","7","1","1","R","0","1","Non-target","","","",""
"","null","Pause","html-keyboard-response","13","25513","0.0-13.0","1","<h2>Reprise dans 3 secondes ...</h2>","null","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","14","26527","0.0-14.0","1","","null","","","","","","","","","","","",""
"","572.8400000007241","2-back-pre","html-keyboard-response","15","28538","0.0-15.0","1","<h1 class='mono'>2</h1>","70","2","0","2","2","","0","1","Non-target","","","",""
"","245.68499999804772","2-back-pre","html-keyboard-response","16","30554","0.0-16.0","1","<h1 class='mono'>F</h1>","70","F","1","2","2","","0","1","Non-target","","","",""
"","245.9999999991851","2-back-pre","html-keyboard-response","17","32568","0.0-17.0","1","<h1 class='mono'>T</h1>","70","T","2","2","2","2","0","1","Non-target","","","",""
"","218.3100000002014","2-back-pre","html-keyboard-response","18","34570","0.0-18.0","1","<h1 class='mono'>F</h1>","74","F","3","2","2","F","1","1","Target","","","",""
"","226.95500000190805","2-back-pre","html-keyboard-response","19","36585","0.0-19.0","1","<h1 class='mono'>S</h1>","70","S","4","2","2","T","0","1","Non-target","","","",""
"","220.47999999995227","2-back-pre","html-keyboard-response","20","38587","0.0-20.0","1","<h1 class='mono'>R</h1>","70","R","5","2","2","F","0","1","Non-target","","","",""
