view_history,rt,part,trial_type,trial_index,time_elapsed,internal_node_id,subject,stimulus,key_press,responses,correct_letters,letters_recalled,correct,button_pressed,make_sense,timeout_var,set_number,size
"[{""page_index"":0,""viewing_time"":1228.0099999625236}]",1228.5450000782,instruction,instructions,0,1230,0.0-0.0,c0tty,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":981.1849999241531},{""page_index"":1,""viewing_time"":1051.509999902919}]",2033.2100000232,instruction,instructions,1,3264,0.0-1.0,c0tty,,,,,,,,,,,
,,training-letters,html-keyboard-response,2,4280,0.0-2.0,c0tty,<h1>P</h1>,,,,,,,,,,
,,training-letters,html-keyboard-response,3,5292,0.0-3.0,c0tty,<h1>N</h1>,,,,,,,,,,
,,training-letters,html-keyboard-response,4,6294,0.0-4.0,c0tty,<h1>H</h1>,,,,,,,,,,
,4918.730000034,training-recall,survey-html-form,5,11214,0.0-5.0,c0tty,,,"{""response"":""PNH""}",PNH,PNH,1,,,,,
,,feedback,html-keyboard-response,6,12731,0.0-6.0,c0tty,<h2>Correct !</h2>,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":1479.7050000634044},{""page_index"":1,""viewing_time"":848.2999999541789}]",2328.4750001039,instruction,instructions,7,15060,0.0-7.0,c0tty,,,,,,,,,,,
,916.85999999754,training-sentence,html-button-response,8,15979,0.0-8.0,c0tty,<h3>Un Ã©tranger apparut sur le seuil et tendit Ã  la fille un petit sac de fenÃªtres.</p>,,,,,"",1,0,,,
,2678.6550001707,training-sentence,html-button-response,9,18660,0.0-9.0,c0tty,"<h3>MalgrÃ© tout son courage, la servante ne parvenait pas Ã  accomplir son dur labeur.</p>",,,,,1,1,1,,,
,6646.9800001942,training-sentence,html-button-response,10,25309,0.0-10.0,c0tty,"<h3>AprÃ¨s avoir dÃ©vastÃ© le village, le vieux pirate ordonna de gagner le large.</p>",,,,,1,1,1,,,
,5094.844999956,training-sentence,html-button-response,11,30406,0.0-11.0,c0tty,<h3>Le tonnerre grondait sauvagement sur le chantier et la foudre tomba sur le toit.</p>,,,,,1,1,1,,,
,3347.6299999747,training-sentence,html-button-response,12,33756,0.0-12.0,c0tty,<h3>Les gendarmes qui ont perquisitionnÃ© les lieux ont trouvÃ© des envies et des armes.</p>,,,,,1,0,0,,,
,3231.1050000135,training-sentence,html-button-response,13,36989,0.0-13.0,c0tty,"<h3>Devant ce spectacle, mÃªme l'homme le plus brave aurait un moment de faiblesse.</p>",,,,,1,1,1,,,
,3229.5049999375,training-sentence,html-button-response,14,40221,0.0-14.0,c0tty,"<h3>Le marin, qui manifestait tous les signes de la colÃ¨re, entra dans la cuisine.</p>",,,,,"",0,1,,,
